league,season,team,player,nation,pos,age,born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err
ENG-Premier League,2425,Brighton,Ferdi Kadioglu,TUR,"DF,MF",24,1999,4.3,10,6,4,5,1,6,15,40.0,9,2,2,0,8,18,17,0
ENG-Premier League,2425,Brighton,Georginio Rutter,FRA,"MF,FW",22,2002,18.4,39,15,13,18,8,14,36,38.9,22,20,3,17,10,49,13,2
ENG-Premier League,2425,Brighton,Harry Howell,ENG,FW,15,2008,0.1,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,0,0
ENG-Premier League,2425,Brighton,Igor,BRA,DF,26,1998,10.7,5,5,2,2,1,4,10,40.0,6,24,14,10,4,9,39,1
ENG-Premier League,2425,Brighton,Jack Hinshelwood,ENG,"MF,DF",19,2005,20.5,27,19,8,10,9,11,27,40.7,16,10,3,7,16,43,37,1
ENG-Premier League,2425,Brighton,Jakub Moder,POL,MF,25,1999,0.1,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,3,0
ENG-Premier League,2425,Brighton,James Milner,ENG,MF,38,1986,1.9,5,2,1,3,1,3,3,100.0,0,4,2,2,2,7,2,1
ENG-Premier League,2425,Brighton,Jan Paul van Hecke,NED,DF,24,2000,32.9,45,29,24,19,2,23,41,56.1,18,37,22,15,24,69,142,2
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Brighton,Jeremy Sarmiento,ECU,MF,22,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Brighton,João Pedro,BRA,"FW,MF",22,2001,21.6,16,12,6,6,4,4,11,36.4,7,12,0,12,9,25,12,0
ENG-Premier League,2425,Brighton,Joël Veltman,NED,DF,32,1992,18.9,43,29,24,16,3,31,52,59.6,21,22,7,15,19,62,66,0
